date,count,timestamp,type
2011-06-13,1,1307923200000,daily
2011-06-14,3,1308009600000,daily
2011-06-15,1,1308096000000,daily
2011-06-17,2,1308268800000,daily
2011-06-20,2,1308528000000,daily
2011-06-21,1,1308614400000,daily
2011-06-24,1,1308873600000,daily
2011-06-30,1,1309392000000,daily
2011-07-13,4,1310515200000,daily
2011-07-15,1,1310688000000,daily
2011-07-19,1,1311033600000,daily
2011-07-20,1,1311120000000,daily
2011-07-25,3,1311552000000,daily
2011-07-26,1,1311638400000,daily
2011-07-29,3,1311897600000,daily
2011-08-02,1,1312243200000,daily
2011-08-04,2,1312416000000,daily
2011-08-08,1,1312761600000,daily
2011-08-11,1,1313020800000,daily
2011-08-15,1,1313366400000,daily
2011-08-16,1,1313452800000,daily
2011-08-17,2,1313539200000,daily
2011-08-19,1,1313712000000,daily
2011-08-24,3,1314144000000,daily
2011-08-26,8,1314316800000,daily
2011-08-30,1,1314662400000,daily
2011-08-31,1,1314748800000,daily
2011-09-01,1,1314835200000,daily
2011-09-05,1,1315180800000,daily
2011-09-07,1,1315353600000,daily
2011-09-08,1,1315440000000,daily
2011-09-13,1,1315872000000,daily
2011-09-15,2,1316044800000,daily
2011-09-22,1,1316649600000,daily
2011-09-26,1,1316995200000,daily
2011-09-27,1,1317081600000,daily
2011-09-28,5,1317168000000,daily
2011-09-29,1,1317254400000,daily
2011-09-30,1,1317340800000,daily
2011-10-03,1,1317600000000,daily
2011-10-11,3,1318291200000,daily
2011-10-12,1,1318377600000,daily
2011-10-13,1,1318464000000,daily
2011-10-14,1,1318550400000,daily
2011-10-18,1,1318896000000,daily
2011-10-19,2,1318982400000,daily
2011-10-20,1,1319068800000,daily
2011-10-24,4,1319414400000,daily
2011-10-26,2,1319587200000,daily
2011-10-27,1,1319673600000,daily
2011-10-28,2,1319760000000,daily
2011-11-02,2,1320192000000,daily
2011-11-03,1,1320278400000,daily
2011-11-08,2,1320710400000,daily
2011-11-10,1,1320883200000,daily
2011-11-14,1,1321228800000,daily
2011-11-15,1,1321315200000,daily
2011-11-16,2,1321401600000,daily
2011-11-17,1,1321488000000,daily
2011-11-21,1,1321833600000,daily
2011-11-22,2,1321920000000,daily
2011-11-23,1,1322006400000,daily
2011-11-29,2,1322524800000,daily
2011-12-02,1,1322784000000,daily
2011-12-06,1,1323129600000,daily
2011-12-07,1,1323216000000,daily
2011-12-13,1,1323734400000,daily
2011-12-14,2,1323820800000,daily
2011-12-19,1,1324252800000,daily
2012-01-05,2,1325721600000,daily
2012-01-11,1,1326240000000,daily
2012-01-13,4,1326412800000,daily
2012-01-19,3,1326931200000,daily
2012-01-25,1,1327449600000,daily
2012-01-27,1,1327622400000,daily
2012-01-30,1,1327881600000,daily
2012-01-31,2,1327968000000,daily
2012-02-02,1,1328140800000,daily
2012-02-03,2,1328227200000,daily
2012-02-07,1,1328572800000,daily
2012-02-08,1,1328659200000,daily
2012-02-09,1,1328745600000,daily
2012-02-14,2,1329177600000,daily
2012-02-16,2,1329350400000,daily
2012-02-17,1,1329436800000,daily
2012-02-20,1,1329696000000,daily
2012-02-22,3,1329868800000,daily
2012-02-27,1,1330300800000,daily
2012-02-29,1,1330473600000,daily
2012-03-01,3,1330560000000,daily
2012-03-06,1,1330992000000,daily
2012-03-08,1,1331164800000,daily
2012-03-14,1,1331683200000,daily
2012-03-16,1,1331856000000,daily
2012-03-19,1,1332115200000,daily
2012-03-20,1,1332201600000,daily
2012-03-22,1,1332374400000,daily
2012-03-28,1,1332892800000,daily
2012-03-29,3,1332979200000,daily
2012-03-30,1,1333065600000,daily
2012-04-05,1,1333584000000,daily
2012-04-09,1,1333929600000,daily
2012-04-11,2,1334102400000,daily
2012-04-12,1,1334188800000,daily
2012-04-16,2,1334534400000,daily
2012-04-17,1,1334620800000,daily
2012-04-19,1,1334793600000,daily
2012-04-20,1,1334880000000,daily
2012-04-23,2,1335139200000,daily
2012-04-24,1,1335225600000,daily
2012-04-25,1,1335312000000,daily
2012-04-26,1,1335398400000,daily
2012-04-27,2,1335484800000,daily
2012-05-01,1,1335830400000,daily
2012-05-04,1,1336089600000,daily
2012-05-07,1,1336348800000,daily
2012-05-08,1,1336435200000,daily
2012-05-10,1,1336608000000,daily
2012-05-11,6,1336694400000,daily
2012-05-15,1,1337040000000,daily
2012-05-16,2,1337126400000,daily
2012-05-18,2,1337299200000,daily
2012-05-22,3,1337644800000,daily
2012-05-24,2,1337817600000,daily
2012-05-25,2,1337904000000,daily
2012-05-28,1,1338163200000,daily
2012-05-31,3,1338422400000,daily
2012-06-06,1,1338940800000,daily
2012-06-08,1,1339113600000,daily
2012-06-12,3,1339459200000,daily
2012-06-13,2,1339545600000,daily
2012-06-19,2,1340064000000,daily
2012-06-20,1,1340150400000,daily
2012-06-21,1,1340236800000,daily
2012-06-22,3,1340323200000,daily
2012-06-25,2,1340582400000,daily
2012-06-26,1,1340668800000,daily
2012-06-27,1,1340755200000,daily
2012-07-02,1,1341187200000,daily
2012-07-04,1,1341360000000,daily
2012-07-05,1,1341446400000,daily
2012-07-10,1,1341878400000,daily
2012-07-12,1,1342051200000,daily
2012-07-24,2,1343088000000,daily
2012-07-25,1,1343174400000,daily
2012-07-30,1,1343606400000,daily
2012-07-31,1,1343692800000,daily
2012-08-01,2,1343779200000,daily
2012-08-02,2,1343865600000,daily
2012-08-03,1,1343952000000,daily
2012-08-06,2,1344211200000,daily
2012-08-09,2,1344470400000,daily
2012-08-13,1,1344816000000,daily
2012-08-14,2,1344902400000,daily
2012-08-15,1,1344988800000,daily
2012-08-16,1,1345075200000,daily
2012-08-20,1,1345420800000,daily
2012-08-21,2,1345507200000,daily
2012-08-22,1,1345593600000,daily
2012-08-23,1,1345680000000,daily
2012-08-24,3,1345766400000,daily
2012-08-28,1,1346112000000,daily
2012-08-29,2,1346198400000,daily
2012-08-30,1,1346284800000,daily
2012-08-31,1,1346371200000,daily
2012-09-06,1,1346889600000,daily
2012-09-07,2,1346976000000,daily
2012-09-11,2,1347321600000,daily
2012-09-13,2,1347494400000,daily
2012-09-14,1,1347580800000,daily
2012-09-17,1,1347840000000,daily
2012-09-19,2,1348012800000,daily
2012-09-20,1,1348099200000,daily
2012-09-21,2,1348185600000,daily
2012-09-25,2,1348531200000,daily
2012-09-26,1,1348617600000,daily
2012-09-27,4,1348704000000,daily
2012-09-28,2,1348790400000,daily
2012-10-01,1,1349049600000,daily
2012-10-03,1,1349222400000,daily
2012-10-08,2,1349654400000,daily
2012-10-10,1,1349827200000,daily
2012-10-11,3,1349913600000,daily
2012-10-12,1,1350000000000,daily
2012-10-15,2,1350259200000,daily
2012-10-16,3,1350345600000,daily
2012-10-17,4,1350432000000,daily
2012-10-18,1,1350518400000,daily
2012-10-22,1,1350864000000,daily
2012-10-23,3,1350950400000,daily
2012-10-24,2,1351036800000,daily
2012-10-25,2,1351123200000,daily
2012-10-26,1,1351209600000,daily
2012-10-29,5,1351468800000,daily
2012-10-30,2,1351555200000,daily
2012-10-31,2,1351641600000,daily
2012-11-01,1,1351728000000,daily
2012-11-02,1,1351814400000,daily
2012-11-06,1,1352160000000,daily
2012-11-07,1,1352246400000,daily
2012-11-08,1,1352332800000,daily
2012-11-09,2,1352419200000,daily
2012-11-12,2,1352678400000,daily
2012-11-16,1,1353024000000,daily
2012-11-19,4,1353283200000,daily
2012-11-20,2,1353369600000,daily
2012-11-27,2,1353974400000,daily
2012-11-28,8,1354060800000,daily
2012-11-30,1,1354233600000,daily
2012-12-03,1,1354492800000,daily
2012-12-04,1,1354579200000,daily
2012-12-05,2,1354665600000,daily
2012-12-06,4,1354752000000,daily
2012-12-07,1,1354838400000,daily
2012-12-10,1,1355097600000,daily
2012-12-11,1,1355184000000,daily
2012-12-12,1,1355270400000,daily
2012-12-13,3,1355356800000,daily
2012-12-17,1,1355702400000,daily
2012-12-18,1,1355788800000,daily
2012-12-19,1,1355875200000,daily
2012-12-21,1,1356048000000,daily
2013-01-08,1,1357603200000,daily
2013-01-09,1,1357689600000,daily
2013-01-10,1,1357776000000,daily
2013-01-15,1,1358208000000,daily
2013-01-16,1,1358294400000,daily
2013-01-23,2,1358899200000,daily
2013-01-24,1,1358985600000,daily
2013-01-25,1,1359072000000,daily
2013-01-30,1,1359504000000,daily
